,label,X,Y
0,1,15000,5000
1,2,17000,5000
2,3,19000,5000
3,4,21000,5000
4,5,23000,5000
5,6,25000,5000
6,7,27000,5000
7,8,29000,5000
8,9,31000,5000
9,10,33000,5000
10,11,35000,5000
11,12,37000,5000
12,13,39000,5000
13,14,39000,7000
14,15,37000,7000
15,16,35000,7000
16,17,33000,7000
17,18,31000,7000
18,19,29000,7000
19,20,27000,7000
20,21,25000,7000
21,22,23000,7000
22,23,21000,7000
23,24,19000,7000
24,25,17000,7000
25,26,15000,7000
26,27,15000,9000
27,28,17000,9000
28,29,19000,9000
29,30,21000,9000
30,31,23000,9000
31,32,25000,9000
32,33,27000,9000
33,34,29000,9000
34,35,31000,9000
35,36,33000,9000
36,37,35000,9000
37,38,37000,9000
38,39,39000,9000
39,40,39000,11000
40,41,37000,11000
41,42,35000,11000
42,43,33000,11000
43,44,31000,11000
44,45,29000,11000
45,46,27000,11000
46,47,25000,11000
47,48,23000,11000
48,49,21000,11000
49,50,19000,11000
50,51,17000,11000
51,52,15000,11000
52,53,15000,13000
53,54,17000,13000
54,55,19000,13000
55,56,21000,13000
56,57,23000,13000
57,58,25000,13000
58,59,27000,13000
59,60,29000,13000
60,61,31000,13000
61,62,33000,13000
62,63,35000,13000
63,64,37000,13000
64,65,39000,13000
65,66,39000,15000
66,67,37000,15000
67,68,35000,15000
68,69,33000,15000
69,70,31000,15000
70,71,29000,15000
71,72,27000,15000
72,73,25000,15000
73,74,23000,15000
74,75,21000,15000
75,76,19000,15000
76,77,17000,15000
77,78,15000,15000
78,79,15000,17000
79,80,17000,17000
80,81,19000,17000
81,82,21000,17000
82,83,23000,17000
83,84,25000,17000
84,85,27000,17000
85,86,29000,17000
86,87,31000,17000
87,88,33000,17000
88,89,35000,17000
89,90,37000,17000
90,91,39000,17000
91,92,39000,19000
92,93,37000,19000
93,94,35000,19000
94,95,33000,19000
95,96,31000,19000
96,97,29000,19000
97,98,27000,19000
98,99,25000,19000
99,100,23000,19000
100,101,21000,19000
101,102,19000,19000
102,103,17000,19000
103,104,15000,19000
104,105,15000,21000
105,106,17000,21000
106,107,19000,21000
107,108,21000,21000
108,109,23000,21000
109,110,25000,21000
110,111,27000,21000
111,112,29000,21000
112,113,31000,21000
113,114,33000,21000
114,115,35000,21000
115,116,37000,21000
116,117,39000,21000
117,118,39000,23000
118,119,37000,23000
119,120,35000,23000
120,121,33000,23000
121,122,31000,23000
122,123,29000,23000
123,124,27000,23000
124,125,25000,23000
125,126,23000,23000
126,127,21000,23000
127,128,19000,23000
128,129,17000,23000
129,130,15000,23000
130,131,15000,25000
131,132,17000,25000
132,133,19000,25000
133,134,21000,25000
134,135,23000,25000
135,136,25000,25000
136,137,27000,25000
137,138,29000,25000
138,139,31000,25000
139,140,33000,25000
140,141,35000,25000
141,142,37000,25000
142,143,39000,25000
